class_token                    brightedge        boono
brand                                   1            2
container                              10           14
faq-title                              11           10
footer-bottom-left                      1            1
hero-heading                            1            1
navbar                                  1            1
social-icon                             4           12
toggle-button                           1            1
w--current                              4            4
w-background-video                      2            4
w-background-video-atom                 2            4
w-dropdown                              1           10
w-dropdown-list                         1           10
w-dropdown-toggle                       1           10
w-dyn-item                             13            3
w-dyn-items                             7            1
w-dyn-list                              7            1
w-inline-block                         37           64
w-nav                                   1            1
w-nav-brand                             1            1
